State (Emission order)	H3K4me1	H3K27ac	H3K4me3	CTCF	H3K27me3	H3K9me3	H3K36me3
1	0.04941856392622336	1.9321576637766703E-25	0.01985802907482049	0.012399305571641817	0.7652981405704681	0.03379794603262023	0.003448452912840405
2	1.2303908623598268E-4	4.387772488408948E-4	1.636152584638079E-5	2.9659023717559877E-4	0.0037525155391101117	0.003229727916744812	0.0015492975429599806
3	7.028745644453385E-4	0.003253662900226513	0.0864113199157465	0.03275150487881468	0.010509797290115102	0.6135613521426602	0.09120470438180289
4	0.002990927238644386	0.03371611946170059	5.5194537324100125E-5	0.00291416934933215	6.154914487394282E-4	0.0018630360128597688	0.6240748708845716
5	0.09355096153195543	0.017535900208799842	0.018800393144679114	0.8943261745792027	0.029008296265020238	8.448750869180132E-4	0.03872805774679589
6	0.5485651136144274	0.1373896642974311	0.017867930162536752	0.0068506082614663505	0.0034304718924850373	7.205474700322567E-4	0.02099532677532627
7	0.9166174676577639	0.9354409816637903	0.39774475168860296	0.04219767082206074	1.9181013636493403E-19	0.004302176053308245	0.08255858537008498
8	0.5972360377149889	0.600378361366448	0.9801235293791394	0.12376690390234052	0.06358459834141608	0.0016507320789824528	6.840486033624203E-4
