State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1,86354	1,84768	1,74459	1,64943	1,34809	1,07847	0,88815	0,72955	0,65026	0,57889	0,51545	0,53924	0,57889	0,59475	0,70576	0,93573	1,31637	1,72873	2,02213	2,26003	2,44242
2	0,67199	0,56699	0,43049	0,37799	0,39899	0,43049	0,43049	0,44099	0,48299	0,49349	0,53549	0,50399	0,49349	0,54599	0,50399	0,51449	0,53549	0,60899	0,72449	0,83998	1,01848
3	0,34525	0,30209	0,25893	0,25893	0,30209	0,30209	0,08631	0,08631	0,21578	0,25893	0,47471	0,47471	0,56102	0,60418	0,64734	0,69049	0,60418	0,51787	0,43156	0,43156	0,56102
4	0,63948	0,62004	0,60060	0,57809	0,54330	0,48907	0,43382	0,37959	0,31206	0,27114	0,25374	0,25374	0,25988	0,27830	0,30388	0,33457	0,37550	0,40006	0,42564	0,43689	0,44815
5	5,55165	5,92176	6,37412	6,33300	6,49749	6,49749	6,20963	5,79839	5,46941	4,89368	4,97593	4,85256	5,09930	5,63390	5,92176	6,41524	6,53861	6,70311	6,25075	5,92176	5,55165
6	6,43819	7,21077	6,95325	8,75594	8,49841	12,36133	15,45166	18,79952	21,11727	24,72265	23,95007	26,52535	26,52535	23,17749	18,54199	14,42155	11,33122	9,01347	7,46830	7,21077	6,18066
7	3,21953	3,72598	4,19625	4,55799	4,73886	4,63034	3,90685	3,07484	2,38752	2,17047	2,13430	1,73638	1,70020	2,20665	3,21953	4,44947	5,60705	5,20913	5,06444	4,73886	4,37712
8	1,89482	2,46327	2,46327	2,27379	2,52643	2,08431	2,46327	1,89482	1,20006	1,01057	1,07373	0,94741	0,82109	0,75793	0,88425	1,13689	1,26322	1,70534	1,89482	2,52643	2,65275
9	4,19141	4,19141	5,29748	6,75283	9,13960	12,22495	15,13565	16,99850	16,06708	11,81745	5,58855	8,84853	13,27280	20,20027	22,12134	20,20027	15,42672	12,45781	10,30389	8,26639	6,81104
10	3,42616	3,42616	3,67088	4,16033	6,11814	9,17720	13,94935	21,41348	34,62865	49,80163	65,34170	60,81428	50,41345	31,56959	20,92403	13,70463	9,78902	6,60759	4,77215	2,93671	2,20253
11	1,71236	1,44199	1,62224	1,35187	1,35187	1,44199	1,71236	2,43336	2,97411	3,42473	3,15435	1,98274	1,44199	1,08149	0,99137	0,72100	0,81112	1,26174	1,17162	1,71236	1,53212
