State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1,89695	1,78007	1,78906	1,69916	1,83402	1,74411	1,72613	1,71714	1,73512	1,85200	1,87897	1,95988	1,97786	2,08574	2,31949	2,22959	2,31050	2,34646	2,52627	2,51728	2,47232
2	3,40901	3,45970	3,48505	3,61178	3,42168	3,56109	3,66247	3,66247	3,61178	3,42168	3,29496	3,15555	2,97813	2,69933	2,35716	2,35716	2,23043	2,11638	1,88826	1,90094	1,86292
3	1,27148	1,21369	1,15589	1,21369	1,15589	1,21369	1,09810	1,21369	1,32928	1,27148	1,27148	1,27148	1,32928	1,27148	1,44487	1,44487	1,27148	1,32928	1,27148	1,27148	1,32928
4	0,48529	0,48529	0,48764	0,49235	0,50060	0,49824	0,49118	0,48529	0,47940	0,48646	0,49942	0,51002	0,51002	0,52651	0,52651	0,52769	0,53358	0,54065	0,53711	0,53711	0,54182
5	2,43827	2,28959	2,14092	2,08145	1,99224	2,23012	2,31933	2,40853	2,37880	2,31933	2,25986	2,31933	2,34906	2,31933	2,25986	2,34906	2,31933	2,40853	2,40853	2,31933	2,31933
6	3,76742	5,02323	5,27439	5,27439	5,52555	4,26974	4,01858	3,76742	3,76742	3,51626	3,01394	2,51161	1,75813	3,26510	3,76742	4,01858	4,52090	4,52090	3,76742	3,51626	3,76742
7	1,65757	1,94172	1,51549	1,84700	1,75229	1,37341	1,56285	1,46813	1,70493	1,56285	1,94172	2,13116	2,32059	1,98908	2,03644	1,75229	1,56285	1,51549	1,61021	1,70493	2,03644
8	2,06927	2,06927	2,35469	2,14063	2,21198	2,42604	2,06927	2,14063	2,35469	2,42604	2,21198	1,78386	1,99792	1,99792	1,71250	2,06927	2,49740	2,28334	2,21198	1,64115	1,99792
9	2,49298	3,01782	3,47705	3,01782	3,34584	3,08342	3,28023	3,34584	3,41144	3,60826	3,28023	2,75540	2,42737	2,42737	3,14902	3,54265	3,28023	3,47705	3,73947	4,06749	3,41144
10	4,14455	3,53506	3,29126	3,53506	2,80367	3,41316	2,80367	3,29126	2,80367	2,68177	2,55987	3,16937	4,02266	4,02266	3,41316	2,80367	3,04747	2,80367	2,80367	3,29126	3,65696
11	2,65855	2,95395	2,95395	2,36316	1,77237	2,06776	2,95395	2,36316	2,65855	2,65855	2,95395	2,36316	3,54474	3,24934	1,77237	3,24934	2,65855	2,06776	2,06776	2,36316	1,47697
