State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1,82850	1,72692	1,66440	1,55501	1,30495	1,05490	0,83611	0,68764	0,57824	0,54699	0,50010	0,52354	0,55480	0,53917	0,65638	0,89862	1,27370	1,80506	2,09418	2,33642	2,46926
2	0,67191	0,63887	0,49567	0,41857	0,40755	0,41857	0,45161	0,50669	0,50669	0,48466	0,52872	0,50669	0,49567	0,55075	0,53973	0,49567	0,56176	0,52872	0,63887	0,77105	0,94729
3	0,35163	0,40187	0,35163	0,35163	0,35163	0,35163	0,25117	0,25117	0,25117	0,30140	0,45210	0,75350	0,80374	0,60280	0,50234	0,55257	0,65304	0,55257	0,55257	0,55257	0,70327
4	0,61427	0,60505	0,58458	0,55796	0,52418	0,46889	0,41361	0,35320	0,30304	0,27233	0,25595	0,24673	0,25902	0,27335	0,29587	0,32966	0,36651	0,39211	0,40542	0,42077	0,43408
5	4,85883	4,83299	4,85883	4,98806	5,19482	5,24651	4,98806	4,72961	4,26440	3,59244	3,46321	3,74750	4,00595	4,23856	4,54869	4,80714	4,72961	4,98806	5,06559	4,93637	4,70376
6	5,02096	6,54908	7,85890	8,95041	9,16871	11,35174	16,15440	19,21063	20,95706	24,23160	24,44990	24,01329	23,79499	21,61196	18,33742	14,18967	10,47853	7,85890	5,23926	5,02096	3,71115
7	2,96375	3,86934	4,28098	4,69261	4,73377	4,52795	3,54004	2,67561	2,14049	1,60537	1,39955	1,44071	1,19373	1,56420	2,67561	3,95167	5,22773	4,81610	4,81610	4,15749	3,91051
8	2,17067	1,79856	1,67452	2,17067	2,35673	2,48077	2,23269	1,42644	0,68221	0,68221	0,68221	0,80625	0,74423	0,80625	0,62019	0,93029	1,48846	1,55048	1,92259	2,10865	2,72884
9	3,87748	4,33366	5,58814	6,67155	9,12349	11,11925	14,19843	15,56696	14,82567	9,12349	4,16259	5,36005	10,03584	16,82144	19,90061	18,98826	15,33887	12,31671	10,83414	9,23753	6,89964
10	3,49638	3,17853	3,81424	3,81424	4,87375	9,42964	13,66768	22,14376	33,16267	49,58507	61,55754	59,12067	49,16127	33,90432	22,46161	14,40934	9,53559	6,78086	3,60233	2,54282	2,54282
11	2,31074	1,54049	1,28375	1,28375	1,28375	0,77025	1,54049	1,28375	3,08099	4,10798	3,59449	1,54049	0,00000	0,77025	0,51350	1,54049	1,02700	1,54049	1,28375	1,02700	1,79724
