State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1,31623	1,31623	1,14455	1,20178	1,14455	1,14455	1,03010	1,14455	1,25901	1,20178	1,20178	1,20178	1,25901	1,14455	1,37346	1,31623	1,20178	1,25901	1,20178	1,20178	1,25901
2	0,57892	0,57784	0,57892	0,57892	0,59407	0,59624	0,58650	0,58974	0,59191	0,59624	0,61355	0,62437	0,62437	0,65251	0,65900	0,66766	0,68064	0,69254	0,71202	0,71419	0,71851
3	2,48790	2,33981	2,19172	2,07325	1,98439	2,25095	2,36943	2,42866	2,33981	2,22134	2,19172	2,28057	2,33981	2,36943	2,31019	2,33981	2,33981	2,54713	2,51751	2,36943	2,36943
4	3,15591	3,99749	3,99749	5,25985	4,41828	4,10269	3,99749	3,36631	3,57670	3,26111	3,68190	3,99749	3,57670	4,20788	4,73387	4,83906	5,15466	5,25985	4,62867	4,52347	4,83906
5	1,62105	1,55350	1,45219	1,75613	1,78990	1,38464	1,65482	1,31710	1,38464	1,62105	1,75613	1,89122	2,33025	1,89122	2,06008	1,68859	1,45219	1,48596	1,72236	1,89122	1,78990
6	1,53519	1,66869	1,46845	1,26820	1,40170	1,80218	1,86893	2,00243	1,80218	2,00243	2,06918	1,80218	1,53519	1,53519	1,66869	2,20267	2,66990	2,53641	2,66990	2,40291	2,26942
7	3,47034	3,47034	4,18018	3,31259	3,54921	3,54921	3,15485	3,70695	3,94356	3,86469	3,23372	2,68162	2,76049	3,07598	2,76049	2,91824	2,68162	2,76049	2,76049	2,99711	3,31259
8	4,44758	4,25421	4,83433	5,41445	5,80119	5,22107	4,64096	5,22107	5,02770	4,64096	4,06084	3,67409	3,48072	3,86746	2,90060	2,70722	2,70722	2,70722	2,90060	2,32048	3,09397
9	3,21609	3,19700	3,21609	3,17791	3,08248	3,09202	3,10157	3,10157	3,05385	3,01568	2,90116	2,83436	2,71984	2,53851	2,45262	2,34765	2,27130	2,08998	1,91820	1,91820	1,83231
10	2,30792	2,56435	2,30792	1,53861	1,53861	1,53861	3,07722	2,30792	2,56435	2,82079	2,56435	2,56435	3,59009	2,30792	1,79505	2,82079	2,30792	2,05148	1,53861	2,30792	1,79505
