State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0,39793	0,44767	0,39793	0,39793	0,39793	0,39793	0,29844	0,24870	0,24870	0,24870	0,39793	0,79585	0,79585	0,64663	0,59689	0,64663	0,74611	0,54715	0,54715	0,54715	0,69637
2	0,74114	0,71857	0,68753	0,65837	0,60006	0,53046	0,45052	0,38750	0,32731	0,29345	0,27464	0,26805	0,27934	0,29721	0,32919	0,37998	0,44581	0,52576	0,55209	0,59536	0,61699
3	4,78820	4,86543	4,89117	4,99414	5,30306	5,45752	5,14860	4,89117	4,50503	4,06739	4,04165	4,17037	4,27334	4,50503	4,65948	4,99414	4,86543	5,01989	5,07137	4,99414	4,73671
4	4,29742	5,39463	7,40619	8,96058	11,06357	14,17234	16,73250	19,65840	18,19545	20,20701	20,38988	17,64685	17,92115	19,56697	22,95004	21,94427	17,18967	13,25799	10,14922	8,41197	6,12611
5	2,75923	3,28759	3,84531	3,96273	3,75725	3,69854	3,02341	2,05475	1,76121	1,52638	1,49703	1,14479	1,23285	1,26220	2,02539	2,96471	4,05079	4,08014	4,19755	4,02143	3,78660
6	2,66870	2,37862	2,37862	2,49465	2,43664	2,08855	2,14656	2,03053	1,56641	1,45038	1,45038	1,27633	1,21832	0,98626	1,04427	1,56641	1,62443	1,62443	2,20458	2,49465	2,37862
7	4,18172	4,25027	4,86725	5,82698	8,50054	11,85963	17,68661	23,30794	30,57453	32,83677	34,20783	37,15560	36,12731	32,90533	25,98150	18,92056	15,01306	11,44831	9,25462	6,92383	6,03264
8	1,00845	1,17652	1,00845	0,67230	1,00845	0,84037	0,84037	0,84037	0,84037	0,84037	1,00845	0,84037	0,84037	1,00845	0,84037	0,84037	0,84037	1,17652	1,84882	1,84882	2,52112
9	0,71335	0,68017	0,54745	0,47280	0,44792	0,41474	0,43133	0,43962	0,43962	0,43962	0,46451	0,48939	0,48110	0,51428	0,52257	0,53087	0,58063	0,62211	0,77141	0,86266	1,07002
10	1,78309	1,11443	1,11443	1,33732	0,66866	0,22289	1,56021	1,11443	2,67464	4,45773	2,89752	1,56021	0,44577	0,89155	0,44577	1,33732	0,89155	0,89155	0,89155	0,89155	1,56021
