State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1,18441	1,18441	1,23376	1,18441	1,13506	1,23376	1,18441	1,18441	1,08571	1,03636	0,98701	1,08571	1,03636	1,03636	1,08571	1,18441	1,38182	1,33247	1,28311	1,23376	1,18441
2	0,57919	0,57270	0,58135	0,57919	0,57379	0,57703	0,56838	0,57054	0,58351	0,59972	0,61269	0,62133	0,63970	0,64618	0,65591	0,66671	0,67644	0,68941	0,69913	0,70886	0,71750
3	2,98362	2,93700	2,75052	2,65728	2,51743	2,47081	2,70390	2,47081	2,37757	2,47081	2,61066	2,37757	2,09786	2,51743	2,56405	2,51743	2,51743	2,51743	2,75052	2,70390	2,56405
4	3,71865	4,29969	3,95107	3,95107	4,18348	3,71865	3,71865	3,37003	3,60244	3,25382	3,48624	3,25382	3,60244	3,71865	4,06728	4,29969	5,46177	5,69419	4,41590	4,41590	3,95107
5	1,68438	1,33479	1,30301	1,87506	2,03396	1,77972	1,87506	1,74794	1,58903	1,65260	1,81150	2,06574	2,60602	2,12931	1,93862	1,93862	1,87506	1,68438	1,90684	2,00218	2,25643
6	1,77317	1,91503	1,98595	1,48946	1,34761	1,70225	1,91503	2,19873	2,34059	2,12781	1,63132	1,63132	1,63132	1,77317	2,05688	1,98595	1,98595	2,41151	2,55337	2,41151	2,05688
7	3,15951	3,96964	4,05065	3,64559	3,48356	3,56458	3,32154	3,80761	3,88863	3,48356	3,15951	2,99748	2,67343	3,40255	3,48356	3,48356	2,91647	2,75444	2,99748	2,83546	3,32154
8	4,25998	4,44520	5,18607	4,44520	5,18607	5,55650	4,63042	5,55650	5,00085	6,29737	5,74172	4,25998	3,51912	2,22260	2,40782	2,77825	2,96347	2,59303	2,40782	2,59303	4,07477
9	3,18923	3,20794	3,14247	3,15182	3,13312	3,12376	3,13312	3,06765	3,00218	2,90865	2,86189	2,87124	2,68419	2,62808	2,45973	2,33815	2,22592	2,17915	2,02951	1,97340	1,87987
10	1,89664	1,69699	1,69699	1,89664	2,29593	2,39575	2,89487	3,09451	3,29416	2,89487	2,69522	2,49558	2,29593	2,39575	2,79504	2,69522	2,39575	1,99646	2,29593	2,19611	1,49735
