State (from\to) (Emission order)	1	2	3	4	5	6	7	8
1	0.922095190058796	0.06574656005585452	4.413154785407266E-4	8.62304506315963E-5	0.0017866136114520084	0.001878479121754413	0.0	0.007965611222970707
2	0.001987711329383633	0.9865752644820844	0.0016483298362057663	0.002552501122597469	0.0019207003402295156	0.004801600239087306	0.0	5.138926504118411E-4
3	5.24515505096366E-4	0.07684374990314312	0.9187834014616639	0.0031983818707314094	0.0	5.538253113668659E-5	3.832206285057818E-4	2.113480997227429E-4
4	1.2806912157383108E-4	0.021444231520130617	6.479295361980214E-4	0.9690623460716783	0.0017484910661579737	0.00514602949550819	0.0018229031887531451	0.0
5	0.01203817278505782	0.24105131292412899	0.0	0.028370956200279778	0.6787757960425969	0.015759420255069857	0.0022236718115220665	0.021780669981344727
6	0.001956395403373514	0.12579128149531005	9.00060657537769E-5	0.016073070751880043	0.0028958645108397366	0.7437459100958435	0.06176103175538224	0.04768643992161702
7	0.0	8.27800725257321E-7	6.067108169330019E-4	0.014237943054584508	0.0017636257020765679	0.13923764421126594	0.8307376604857996	0.013415587928615165
8	0.013251153480233797	0.023125761517290417	1.6614197262075427E-4	0.0	0.007611536611666774	0.09071250884218732	0.010117492967311266	0.8550154046086896
