State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	5,58249	6,08646	6,43537	6,43537	6,62921	7,13318	6,90058	6,90058	6,70674	6,43537	6,78427	6,62921	6,78427	6,93934	6,86181	7,21071	7,05565	6,93934	6,47414	6,04770	5,69879
2	0,76441	0,74380	0,71757	0,68010	0,62296	0,55364	0,47869	0,41031	0,33443	0,28946	0,26698	0,27354	0,28197	0,30820	0,34192	0,39438	0,46652	0,51804	0,57518	0,61265	0,64076
3	0,38683	0,34385	0,30087	0,30087	0,34385	0,34385	0,12894	0,12894	0,25789	0,25789	0,42981	0,47279	0,60173	0,60173	0,64472	0,68770	0,60173	0,51577	0,42981	0,47279	0,55875
4	0,72928	0,68965	0,56282	0,50733	0,47562	0,44391	0,45976	0,45976	0,45976	0,49147	0,49940	0,47562	0,50733	0,51525	0,50733	0,50733	0,61038	0,65794	0,78477	0,91953	1,05429
5	1,62281	1,36657	1,53740	1,45198	1,36657	1,45198	1,87904	2,22068	3,16020	3,58726	3,50184	2,56233	1,45198	1,28116	1,28116	0,85411	0,85411	1,53740	1,19575	1,53740	1,45198
6	3,18176	3,68553	4,05674	4,32188	4,21583	4,00371	3,76508	3,10221	2,46586	2,49238	2,67798	2,01511	1,74997	1,88254	2,65146	3,84462	4,71960	4,98475	4,82566	4,71960	4,42794
7	2,22879	2,22879	2,28902	2,40950	2,52997	2,22879	2,10831	2,16855	2,16855	1,44570	1,20475	1,32522	1,26499	1,38546	1,38546	1,50594	1,68665	1,92760	2,10831	1,86736	1,92760
8	4,37113	4,32413	5,21715	6,90920	9,82329	13,44239	17,90752	22,27865	26,79078	29,46986	29,84587	31,39692	31,58492	29,79887	26,83779	21,76164	16,12147	12,45536	9,82329	7,80223	6,43919
