State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4,86366	5,01408	5,13943	5,11436	5,31493	5,51549	5,56563	5,56563	5,26479	5,01408	4,93887	4,98901	5,06422	5,21464	5,18957	5,23972	5,03915	5,18957	5,13943	5,03915	4,63803
2	0,74078	0,72109	0,69109	0,66296	0,60669	0,53355	0,45385	0,38727	0,32913	0,29444	0,27475	0,26912	0,28131	0,29631	0,32913	0,37977	0,44541	0,52042	0,55606	0,59638	0,62920
3	0,34890	0,44859	0,39874	0,39874	0,39874	0,39874	0,29906	0,24921	0,24921	0,24921	0,39874	0,74764	0,79749	0,64796	0,59811	0,64796	0,74764	0,54827	0,54827	0,54827	0,69780
4	0,75279	0,70422	0,56662	0,50186	0,46948	0,44520	0,45329	0,45329	0,45329	0,45329	0,47758	0,50996	0,50186	0,54233	0,54233	0,54233	0,59090	0,64756	0,81755	0,97134	1,11705
5	1,74979	1,31235	1,09362	1,09362	0,87490	0,65617	1,53107	1,09362	3,49959	3,93704	3,71831	2,40597	0,21872	0,87490	0,43745	1,53107	1,09362	1,09362	0,87490	0,87490	1,53107
6	2,94107	3,51215	3,96901	4,25455	4,16889	4,08323	3,39793	2,48420	1,94168	1,91312	1,99878	1,59903	1,42770	1,51336	2,14155	3,14095	4,54009	4,45443	4,54009	4,22600	3,82624
7	2,37692	2,15581	2,10054	1,98998	1,98998	1,65832	1,49249	1,54776	1,54776	1,32665	1,21610	1,16082	1,10555	0,93971	1,10555	1,49249	1,43721	1,60304	1,98998	2,04526	2,10054
8	4,10920	4,33253	5,71715	7,10177	9,78168	13,48889	18,26807	22,95792	26,62047	28,85373	29,65770	30,28301	30,32768	29,12172	26,62047	21,97528	16,79412	12,81892	9,87101	7,72708	6,38713
