State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2,50943	2,48058	2,36521	2,36521	2,24983	2,30752	2,42289	2,45174	2,50943	2,36521	2,19214	2,27867	2,30752	2,36521	2,27867	2,42289	2,45174	2,62480	2,53827	2,39405	2,42289
2	0,58365	0,58042	0,58150	0,58042	0,59336	0,59444	0,58905	0,59229	0,59121	0,59768	0,61278	0,63005	0,62897	0,65702	0,66241	0,66996	0,68183	0,69693	0,71527	0,71420	0,72283
3	1,31894	1,26159	1,14690	1,20425	1,14690	1,20425	1,08956	1,20425	1,31894	1,26159	1,26159	1,26159	1,37628	1,26159	1,49097	1,43363	1,26159	1,31894	1,26159	1,26159	1,31894
4	3,20364	3,20364	3,23158	3,28746	3,21296	3,22227	3,18502	3,16639	3,10120	3,07326	3,00807	2,85906	2,74731	2,57968	2,45861	2,34685	2,29098	2,11403	1,97434	1,93709	1,89052
5	2,26482	2,51647	2,51647	2,01317	1,76153	1,76153	3,01976	2,51647	2,76811	2,76811	2,76811	2,76811	3,27141	2,51647	2,01317	2,76811	2,26482	2,26482	1,76153	2,01317	1,76153
6	1,77401	1,83971	1,67545	1,93827	1,90541	1,47834	1,74115	1,54404	1,57689	1,80686	1,80686	2,03682	2,43105	1,93827	2,16823	1,70830	1,57689	1,64260	1,83971	1,97112	1,93827
7	1,90793	1,84433	2,03512	1,46274	1,78073	2,03512	1,84433	2,09872	2,16232	2,09872	2,16232	1,84433	1,52634	1,52634	1,84433	2,22592	2,48031	2,22592	2,35311	2,22592	2,03512
8	3,49440	3,64856	3,85411	3,69995	3,59717	3,80273	3,64856	3,64856	3,69995	3,54578	3,44301	3,18607	3,23746	3,75134	3,59717	3,90550	3,85411	3,85411	3,64856	4,00828	4,00828
