State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2,89916	2,89916	2,85456	2,72075	2,76535	2,67615	2,85456	2,67615	2,63155	2,54234	2,67615	2,45314	2,23012	2,49774	2,67615	2,67615	2,67615	2,72075	2,80996	2,85456	2,85456
2	0,58631	0,57661	0,58739	0,58416	0,57985	0,58308	0,57446	0,57446	0,58524	0,59817	0,61110	0,62188	0,64236	0,64990	0,65960	0,67361	0,68655	0,69625	0,70595	0,71457	0,72427
3	1,18681	1,18681	1,23626	1,18681	1,13736	1,18681	1,18681	1,18681	1,08791	1,03846	0,98901	1,08791	1,03846	1,03846	1,08791	1,23626	1,38461	1,33516	1,28571	1,23626	1,18681
4	3,18293	3,21029	3,14645	3,11909	3,13733	3,12821	3,15557	3,13733	3,08261	3,04613	2,98229	2,90932	2,75428	2,62660	2,43508	2,31652	2,18883	2,17059	2,01555	1,95171	1,89699
5	1,96534	1,76880	1,76880	1,96534	2,55494	2,45667	2,75147	3,24280	3,34107	3,14454	2,75147	2,55494	2,45667	2,55494	2,84974	3,04627	2,45667	2,06360	2,35840	2,06360	1,47400
6	1,67781	1,58629	1,55579	2,13539	2,19640	2,07438	2,01337	1,92185	1,70831	1,95236	2,13539	2,31842	2,56247	2,22691	1,95236	1,83034	1,92185	1,70831	1,92185	1,95236	2,28792
7	2,14843	2,21774	2,21774	1,80191	1,66330	2,00983	2,00983	2,35635	2,77217	2,35635	1,94052	1,87122	1,73261	1,66330	2,21774	2,28704	2,00983	2,21774	2,49496	2,28704	2,00983
8	3,67717	4,21793	4,10977	3,83939	3,62309	3,56901	3,56901	3,51494	3,46086	3,19048	3,02825	2,92010	2,86603	3,51494	3,78532	3,67717	4,00162	4,05570	3,67717	3,89347	3,73124
