State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3,52686	3,68246	3,88992	3,73432	3,63059	3,83805	3,63059	3,68246	3,73432	3,57872	3,42313	3,21567	3,31940	3,73432	3,63059	3,94178	3,88992	3,88992	3,68246	4,04551	3,94178
2	1,83122	1,89436	2,08380	1,57864	1,83122	1,70493	1,89436	2,02065	2,08380	1,89436	2,02065	1,76807	1,51549	1,45234	1,83122	2,21009	2,33638	2,08380	2,27324	2,27324	2,14694
3	1,86193	2,06001	1,90154	2,13924	2,09962	1,90154	1,86193	1,82231	1,82231	2,06001	2,09962	2,17885	2,45616	2,09962	1,98078	1,66385	1,70347	1,66385	1,90154	1,70347	2,02039
4	2,63663	2,92959	2,92959	2,34367	1,75775	2,05071	2,92959	2,92959	2,92959	2,63663	3,22255	2,63663	3,51551	3,22255	2,05071	3,22255	2,63663	2,05071	2,05071	2,34367	1,75775
5	3,42869	3,47948	3,49218	3,63187	3,46679	3,60647	3,64457	3,64457	3,58108	3,44139	3,28900	3,17471	2,95883	2,67946	2,37468	2,33659	2,22230	2,14611	1,90483	1,91753	1,86673
6	1,87703	1,76084	1,77871	1,70721	1,82340	1,72508	1,69827	1,70721	1,74296	1,82340	1,90385	1,94854	2,02004	2,10943	2,33288	2,26138	2,29713	2,33288	2,50271	2,49377	2,38651
7	1,33619	1,27810	1,16191	1,22000	1,16191	1,22000	1,10381	1,22000	1,33619	1,27810	1,27810	1,27810	1,33619	1,27810	1,45238	1,45238	1,27810	1,27810	1,27810	1,27810	1,33619
8	0,48601	0,48483	0,48718	0,49072	0,49778	0,49660	0,49307	0,48718	0,48130	0,48954	0,49660	0,50837	0,50837	0,52484	0,52720	0,52484	0,53308	0,53661	0,53426	0,53779	0,55073
9	2,51388	2,54277	2,36940	2,36940	2,25382	2,31161	2,42719	2,42719	2,48498	2,39830	2,25382	2,31161	2,31161	2,36940	2,28272	2,42719	2,45609	2,62946	2,54277	2,36940	2,42719
