State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4,05721	4,32769	5,58994	7,07758	9,87255	13,61421	18,30254	23,17120	26,73253	29,16686	30,11354	30,51926	30,51926	29,21194	26,86777	22,13435	16,90506	12,80276	9,82747	7,75379	6,31122
2	2,46979	2,14049	2,14049	1,97583	2,03072	1,75630	1,70141	1,53676	1,64653	1,37211	1,20745	1,20745	1,15257	1,04280	1,09769	1,48188	1,48188	1,64653	2,14049	2,03072	2,08560
3	3,03008	3,78760	4,09750	4,61399	4,47626	4,33852	3,61544	2,68575	2,06596	1,89380	2,16926	1,75607	1,48061	1,58391	2,30699	3,37441	4,71728	4,37296	4,37296	4,20079	3,85647
4	2,29169	1,52779	1,27316	1,27316	1,01853	0,76390	1,52779	1,27316	4,07411	4,58337	4,32874	2,54632	0,00000	0,76390	0,50926	1,52779	1,01853	1,27316	1,27316	1,01853	1,78242
5	0,68432	0,61810	0,49669	0,41942	0,40839	0,41942	0,45254	0,49669	0,49669	0,48565	0,51876	0,51876	0,49669	0,55187	0,52980	0,50772	0,55187	0,54084	0,66225	0,77262	0,98234
6	1,84123	1,78684	1,70139	1,56931	1,31294	1,10318	0,81573	0,67589	0,58267	0,52052	0,45060	0,48167	0,52828	0,53605	0,66812	0,90119	1,28187	1,81792	2,12091	2,36174	2,48604
7	0,40396	0,45445	0,40396	0,40396	0,40396	0,40396	0,30297	0,25247	0,25247	0,25247	0,40396	0,75742	0,80792	0,65643	0,50495	0,60594	0,65643	0,55544	0,55544	0,50495	0,70693
8	0,60960	0,59733	0,57892	0,55437	0,52471	0,46947	0,41629	0,35390	0,30071	0,27105	0,25366	0,24957	0,25877	0,27616	0,29969	0,33139	0,36617	0,39174	0,40095	0,41833	0,43061
9	4,89740	5,02298	5,14855	5,22390	5,34947	5,52528	5,60062	5,57551	5,32436	5,12344	4,99786	5,07321	5,19878	5,32436	5,22390	5,27413	5,04809	5,19878	5,14855	5,07321	4,74672
