State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4,34880	4,30153	5,24692	6,85408	9,78480	13,33001	17,82062	22,26396	26,80183	29,54347	29,87435	31,52879	31,76513	30,01616	26,94364	21,83853	16,16618	12,62097	9,87933	7,75221	6,42866
2	2,00849	2,37367	2,37367	2,43454	2,55627	2,43454	2,43454	2,06936	2,13022	1,88677	1,58245	1,39986	1,39986	1,39986	1,33900	1,52159	1,70418	1,88677	1,94763	1,88677	2,00849
3	3,37257	3,80180	4,16972	4,35368	4,32302	4,20038	3,98576	3,37257	2,48344	2,36080	2,79003	2,14618	1,74760	2,11552	3,00465	4,07774	5,08951	4,84423	4,96687	4,78292	4,29236
4	1,69083	1,42386	1,69083	1,60184	1,33487	1,42386	1,77982	2,31377	3,20368	3,73763	3,55964	2,58074	1,51285	1,33487	1,33487	0,88991	0,88991	1,42386	1,24588	1,77982	1,51285
5	0,67267	0,56757	0,44144	0,37838	0,39940	0,43093	0,42042	0,44144	0,48348	0,48348	0,52553	0,50450	0,49399	0,54655	0,50450	0,51502	0,55706	0,62012	0,71472	0,84084	1,04054
6	1,90261	1,88689	1,77682	1,66675	1,38372	1,12427	0,92772	0,74689	0,64469	0,56607	0,46386	0,49531	0,55034	0,55034	0,69186	0,95131	1,32082	1,72178	2,02054	2,25640	2,45295
7	0,38964	0,34635	0,30305	0,30305	0,34635	0,34635	0,12988	0,12988	0,25976	0,30305	0,47623	0,47623	0,56281	0,60611	0,64940	0,69269	0,60611	0,51952	0,43293	0,43293	0,56281
8	0,63225	0,61588	0,60054	0,58007	0,54529	0,49005	0,43378	0,37649	0,30794	0,26702	0,24860	0,25167	0,25883	0,27929	0,30487	0,33556	0,37546	0,39899	0,42252	0,43480	0,44605
9	5,57170	6,07822	6,35096	6,35096	6,62370	7,16918	6,93540	7,05229	6,85748	6,58474	6,93540	6,74059	6,93540	6,97437	6,85748	7,24711	7,09126	6,93540	6,42889	6,11718	5,61066
