State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3,75253	4,35076	4,13322	3,86130	3,69815	3,53499	3,53499	3,58938	3,48061	3,15430	2,93676	2,93676	2,88238	3,53499	3,80692	3,69815	4,02445	4,02445	3,69815	3,86130	3,64376
2	2,03071	2,03071	2,03071	1,68059	1,54054	1,96069	1,89066	2,03071	2,38084	2,03071	1,96069	1,89066	1,68059	1,61056	2,17076	2,31081	1,96069	2,31081	2,52088	2,31081	2,03071
3	1,76373	1,58736	1,65791	2,08120	2,22230	2,08120	2,18702	2,01065	1,86955	2,22230	2,18702	2,32812	2,50450	2,25757	2,08120	1,86955	1,90483	1,83428	2,04593	2,04593	2,57504
4	1,94533	1,84295	1,74056	1,94533	2,55965	2,45726	2,66203	3,27635	3,37874	3,07158	3,07158	2,76442	2,66203	2,86681	3,07158	2,96919	2,55965	2,15010	2,35488	2,15010	1,53579
5	3,32545	3,28917	3,30127	3,34964	3,47056	3,45847	3,50684	3,48265	3,44638	3,38591	3,20453	3,07151	2,76919	2,64827	2,38223	2,29758	2,23712	2,17666	2,01946	1,95899	1,88644
6	2,02617	1,99904	2,03522	1,92667	1,80908	1,89049	1,82717	1,80908	1,80908	1,87240	1,97190	2,02617	2,22517	2,20708	2,29754	2,35181	2,30658	2,27944	2,36085	2,37894	2,36990
7	1,19543	1,19543	1,24524	1,19543	1,14562	1,14562	1,09581	1,14562	1,04600	1,09581	1,04600	1,14562	1,14562	1,09581	1,14562	1,19543	1,39467	1,29505	1,24524	1,19543	1,14562
8	0,47200	0,47200	0,46964	0,47906	0,47788	0,47317	0,46964	0,47317	0,47906	0,48259	0,49201	0,50025	0,51084	0,51319	0,50966	0,51672	0,52614	0,53791	0,53556	0,54380	0,54968
9	2,91379	2,95862	2,91379	2,77931	2,77931	2,68966	2,82414	2,64483	2,64483	2,55517	2,68966	2,51035	2,24138	2,46552	2,64483	2,68966	2,68966	2,73448	2,82414	2,77931	2,86897
