State (Emission order)	H3K4me1	H3K27ac	H3K4me3	CTCF	H3K27me3	H3K9me3	H3K36me3
1	0.5932427210956595	0.6031981924598154	0.9813195833888492	0.12501996631173998	0.06311169920362102	0.0016529331951799775	7.497268587524838E-4
2	0.9044276710128367	0.9571199122448538	0.4028073218492257	0.04088238481222097	1.493435814892837E-44	0.004286642210613952	0.07396801744683103
3	0.6662020042305108	0.12989430074540553	0.02861281129960424	0.008929294121464482	0.004328602909445016	8.206630009081353E-4	0.026887605975858212
4	0.09524912509262097	0.01779868373010579	0.01955225220808296	0.9041212036231172	0.0305154131837777	8.091349804152273E-4	0.03509385828044651
5	0.003974267857978155	0.03776153795396958	8.534200095729004E-5	0.003923272692385442	9.137280396630806E-4	0.0029888354876936086	0.7902375113198106
6	8.590882835194371E-8	0.017697396453370727	5.596424269541147E-16	8.843124214588624E-4	1.6778436929866373E-4	9.537472894408532E-5	0.053600137938077164
7	7.678209175419156E-4	0.0033645098827411453	0.08788067319309537	0.03323851799582551	0.010655344179839647	0.617560507544034	0.08943985496235834
8	3.1813162121374676E-4	3.472678190713948E-5	2.1385364613979972E-5	3.523700319676506E-4	0.00413751184534208	0.0035870137461935948	1.612358962243997E-4
9	0.04988496842553107	3.859389835294469E-79	0.02075104350146734	0.01228723507166252	0.7682776234767236	0.033957377777547024	0.0032301616941327323
