Index	NumberPSM	Gene	MaxPepProb	ReferenceIntensity	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10
A0A2R8Y4L2	1	HNRNPA1L3	0.9998	21.27420078465907	21.20557317901179	21.374449980153745	21.602117855811684	21.111130948165897	21.30136532760581	21.381003140791254	21.340792552497398	21.313793404201718	21.25650556148055	21.00379738024122
A6NMY6	1	ANXA2P2	0.9993	18.16624280449733	18.18257163681709	17.9570189479646	17.925844500878227	18.096809211173763	18.149425722014076	18.377447754125452	18.271732518346745	18.16940033686828	18.42353161673178	18.149923366208796
B7ZW38	5	HNRNPCL3	0.9979	27.596136516411438	27.757025039626356	27.616045049098382	27.057829742200287	27.549001540450742	27.579457742821077	27.767420348650887	27.529344269530995	27.57655868207891	27.497158176829846	27.558748640484612
O00148	1	DDX39A	0.965	18.908503503819354	19.02504988216885	18.81068640578354	18.79262510317657	18.892244220931712	18.873418844502858	18.60708728476732	19.02167900693361	18.96904660208683	18.964667020516302	18.91803482936843
O14602	2	EIF1AY	0.9797	29.374385201927826	29.169184170739985	29.459815499350363	29.235258309619315	29.409515707476352	29.28764985987515	29.430744516760175	29.368572461400788	29.540061590504724	29.529294610857367	29.281436945791693
O14979	1	HNRNPDL	0.9938	23.015434480842124	23.093786214773655	22.989025019171613	22.69475288594362	23.020916368386654	23.022470592827847	23.19320088017183	22.910624814393817	23.040354981072593	22.91480582268525	23.107620105484443
O15533	1	TAPBP	0.9992	22.6236272552602	22.598247191791426	22.509936074920542	22.719010314006226	22.659671852176306	22.542581470995167	22.681242672387814	22.759022316613212	22.666159681184137	22.727536807256556	22.458101044540946
O43390	1	HNRNPR	0.9649	24.761901787184243	24.90841751087587	24.783470287371166	24.77843175047208	24.839179377191083	24.897896848812305	24.483926719003417	24.68732917224125	24.72192343220251	24.611546182677333	24.67370286913463
O60814	3	H2BC12	0.9999	27.536223475043467	27.481428176769228	27.10651930860609	27.72281611087205	27.55477994802938	27.447487490334378	27.548565608367493	27.655480802327716	27.49046555353345	27.604106689235703	27.663248698899455
O75923	1	DYSF	0.9498	21.666172139254222	21.74853973075569	21.78405001217703	21.464965583366293	21.69646103207648	21.675542762484	21.715813638248957	21.689814640574088	21.45781266718154	21.57456515902336	21.690801135431002
O95758	1	PTBP3	0.9791	22.600091087083044	22.69638565345207	22.795069286437666	22.523091682143328	22.624974981214997	22.448275995067927	22.358231807631793	22.63169106091506	22.62385488157839	22.34361540085589	22.62714248077462
P00338	1	LDHA	0.9941	25.532106143010306	24.62907741462673	24.628421353711584	24.63554702098512	25.64635339366873	25.658737329386938	25.61920301864387	26.003391763591235	25.968960387816935	25.992484648943723	25.54044121915305
P00352	1	ALDH1A1	0.9924	25.94636465451161	25.424680091190996	25.100385884311013	25.411025154669883	26.09112881266035	25.981458792736355	25.753319371520597	26.289172681290314	26.343200112097048	26.367567423252748	26.03092461967152
P04350	1	TUBB4A	0.9773	23.353887111261265	22.88155782078126	23.125335326949838	23.087535365434377	23.47733545739604	23.448928198224646	23.31673603889077	23.63377838048922	23.41581349805861	23.587502418772218	23.355227898191753
P04406	1	GAPDH	0.9991	25.865110865006667	25.53260717400168	25.4710989490969	25.80374035524561	25.927817685661452	25.708065846551435	25.653835901740006	26.114218306785787	26.178916153761822	26.295987790700362	25.822921318940622
P04792	2	HSPB1	0.9973	25.813461382280458	25.827102208358177	25.63670475482914	25.736366910551027	25.671666491300268	25.800211935912383	25.97824473925464	25.915562802547573	25.910807702836227	25.89645488958421	25.746379479770052
P04899	1	GNAI2	0.9987	23.257136892560155	22.958979992928235	23.33863282962212	23.729283461938024	23.23631548344764	23.429648442568983	23.113618988000187	22.945985380564856	23.39586997753731	23.387182100037062	23.129619210224213
P04908	1	H2AC4	0.9991	28.08618217854303	28.281345502320754	28.10450681518185	28.275660202608066	27.995028772184057	28.103829026187082	27.79723443727582	28.086282993009572	28.018302715363447	27.926365617342977	28.107702999801006
P05388	1	RPLP0	0.9372	23.6575423940579	23.567932640880237	23.982796624932657	23.74451331625667	23.576937886116553	23.66079809747133	23.691228008525385	23.73710929326857	23.45652399729274	23.44437076723007	23.59545277829964
P05783	6	KRT18	1.0	30.90583918881614	31.130185863924837	31.11996498275004	31.125005132275533	30.841936266097324	30.75867904496583	30.685530960288787	30.809757326023853	30.813758683343533	30.683175177267522	30.942584499143535
P05787	2	KRT8	0.9952	30.341599918741814	30.700507542767852	30.421758285026208	30.52087097165199	30.190055631538392	30.300553872349113	30.07762937996788	30.253092203294752	30.15160226767429	30.4088185403618	30.26158781980212
P06576	2	ATP5F1B	0.9912	27.327598846580944	27.43533247662226	27.220892147849074	27.425659934689204	27.321160888805515	27.322953298806528	27.318912532853414	27.321329762584813	27.21550449749856	27.30996858434737	27.375926981594183
P06748	8	NPM1	1.0	29.199824022795468	29.327999948206394	29.186451389360084	29.287653937243604	29.14413405668467	29.136232045732072	29.189021223744657	29.204656427658623	29.0954638025945	29.2267772681643	29.288992025304957
P07237	1	P4HB	0.965	26.731281960286204	26.953968402659033	26.895096949296384	26.924603716275293	26.68534807527952	26.68180938446731	26.505986059695392	26.567244452496656	26.569110643636154	26.571738528445117	26.79554378585688
P07437	2	TUBB	0.9967	26.365533580991453	26.18138939896306	26.114953488793706	26.13081999607924	26.41649071627458	26.361825545494096	26.418014702470725	26.543057149983454	26.43578932832326	26.489566759519843	26.403638305677575
P07737	1	PFN1	0.9974	26.00255645634184	25.622965452796983	25.480915323770393	25.799925718447593	25.96859004889309	26.064967372159312	25.732718599588086	26.43593786700942	26.224237338540608	26.445989299548685	25.939818395316472
P07900	1	HSP90AA1	0.9998	24.166045141515166	24.012198712386894	23.797467967933358	23.97665039584855	24.05135608486184	24.24611790216349	24.23996964351851	24.48401368155623	24.228951764777598	24.451633658549653	24.119162759060238
P07910	4	HNRNPC	1.0	27.57160961653733	27.658689416504174	27.52593889174673	27.388373009940853	27.51066092574404	27.635454989110876	27.712591176341846	27.54257475235596	27.505499513936172	27.56821074874554	27.565874226150722
P08195	1	SLC3A2	0.9747	22.85936409463726	22.79169363780217	22.8442480934122	22.908969215873746	22.906765750530415	22.778660397193228	22.782028783231628	22.82234015993124	22.946083826675615	22.95400708533538	22.868262475171104
P08670	6	VIM	0.9987	29.25171738024702	29.118731824706952	29.051203445674837	29.110353823686456	29.433619425233726	29.2519989906596	29.312350579811767	29.343183773109107	29.261239282897982	29.24835927623206	29.262784335297468
P09211	2	GSTP1	0.9999	25.016084811876336	24.558335447928286	24.63772030138316	24.709632313255987	25.05375983688563	25.014903181355205	24.938970748180036	25.327135862168067	25.2647020436053	25.2799575518908	25.058967217406238
P09661	1	SNRPA1	0.9995	22.809803805197014	22.781873956969843	22.498359785819375	22.69265116669202	22.817078769279508	22.90825259257678	22.621361727253937	22.91840387247966	22.971414239149382	22.68889241149002	22.91978945238121
P09874	1	PARP1	0.9595	22.26573490207143	22.30902830559255	22.319179704248597	22.40949187420128	22.262615199939045	22.246670384196836	22.223399164792543	22.15365226113805	22.357591302444256	22.14561742107412	22.204976665342496
P0DMV8	2	HSPA1A	0.9809	25.94678136817394	25.709193595118993	25.73464444184451	25.95553150525122	25.9254460650263	25.90188304164658	25.854691003842913	26.08373723964077	26.126703762971335	25.98050214361499	25.907743504813016
P0DPH7	1	TUBA3C	0.9997	28.36626593549744	27.946988149659617	27.767401224206505	28.015918794930567	28.34984376181056	28.544544315931404	28.489491982193282	28.65817512897092	28.601617535665287	28.627158664607393	28.392160378945782
P10768	1	ESD	0.9779	21.778138250782128	21.430506491489655	21.480270899031073	21.741212101413772	21.96645565615494	21.70856101170822	21.71638270307517	21.98043515633818	21.938831883487154	21.82839156842523	21.8272685826159
P10809	5	HSPD1	0.9997	27.07822639793639	27.21634885878549	27.144025406962964	27.246320244752805	27.11508258791942	27.095951483384	27.170223889291968	27.070090878746278	26.977284474893995	26.900172408411105	27.092163734984364
P11021	1	HSPA5	0.9975	25.53163759811856	25.39827614303275	25.59629861755563	25.38713065240105	25.544067280461046	25.469367334419015	25.749311417805092	25.341616402880227	25.734310498485495	25.194647750995244	25.683493099428542
P11142	1	HSPA8	0.9004	24.474164405472973	24.44038988546768	24.512364901526905	24.35848622799226	24.48780995520328	24.395296932714793	24.422856840590654	24.528994746977236	24.508210751662812	24.32344491491735	24.580197530474912
P11177	1	PDHB	0.9947	22.43308136735277	22.633956010071493	22.568304902356363	22.428812027263817	22.324364215564678	22.41996924981036	22.518227445217164	22.45628070600621	22.17604336793314	22.431621140134578	22.357640354984945
P12956	1	XRCC6	0.999	24.722807228021182	24.596908096252307	24.52909248981494	24.761938777192803	24.683010608469537	24.778067315751844	24.736829269273173	24.854327184623926	24.757662227443596	24.752023072389598	24.775128472114787
P13010	1	XRCC5	0.9926	21.61921762039437	21.68180264625254	21.77942151081668	21.78646775528429	21.642101902389637	21.584135570758093	21.632922116258722	21.421077480229055	21.40277629064569	21.62702797898646	21.665890393927718
P13796	1	LCP1	0.9481	21.5008135054099	20.461090679807988	20.50598585572584	20.59439923920079	21.67665185782469	21.79105218793573	21.53566010441629	21.988773911355587	21.856819220394073	22.047458598432684	21.418294247080055
P13804	1	ETFA	0.9804	23.000841031398014	22.984901756053347	23.09245253531457	23.100074872164484	22.896532542600685	22.990170160819304	23.05000020614789	22.948176651645657	22.978367276585523	23.040226681756142	23.003104634345842
P13995	1	MTHFD2	0.9995	22.867488534584332	22.8746286455505	22.927435559584623	22.970489633340406	22.74853050953014	22.940392115163185	22.927082403403162	22.915815568505693	22.828888444170158	22.758167929707607	22.794466383813376
P14618	4	PKM	1.0	28.437800753019424	27.90214603012382	27.81684499337437	27.90896849297176	28.501558468978185	28.563402011506792	28.52372608039752	28.82312752439332	28.691662500464474	28.842668903424734	28.414963501963555
P14625	2	HSP90B1	0.9992	27.78849994997046	27.938276180049648	27.858101525045363	27.86281194919374	27.6620313176719	27.746372867145727	27.86040109126538	27.73597916440323	27.74529509928092	27.659135928393102	27.784080526549996
P15311	1	EZR	0.9801	25.345515503681316	24.886032311176624	24.878970648289773	24.84439522319675	25.430372726669273	25.491674638051148	25.379202422190986	25.633107728767385	25.632645511329194	25.61704254028828	25.28775169565488
P16615	1	ATP2A2	0.9852	23.601575110836404	23.52202552703887	23.667753020497237	23.684102571531085	23.61299211205067	23.559718451100128	23.50621080691411	23.668408265153467	23.6389742817005	23.49946376732675	23.582377377395677
P17096	1	HMGA1	0.9611	26.957149587642913	27.1816408181059	26.955626299409918	27.07617884041119	26.959246688219025	26.99549398424544	26.79407698048593	26.88472203892754	26.867685810052134	26.793457170742986	26.927332262005205
P17844	1	DDX5	0.927	24.311669005905948	24.244562302651623	24.287582416381237	24.28465220456331	24.44298581539463	24.284690706558738	24.419849144910298	24.2893120220805	24.256821550569484	24.137946599209663	24.379927009264
P19338	3	NCL	0.9996	28.38397923105066	28.372024402768908	28.337452743560576	28.349635376575876	28.462066152283366	28.458114885937473	28.362109304858745	28.368597606504835	28.404886291015156	28.309583293979273	28.341983265962245
